Country,Salesperson,Order Date,OrderID,Order Amount
USA,Leverling,11/28/2003,10362,"$1,549.60 "
USA,Davolio,12/2/2003,10357,"$1,167.68 "
USA,Fuller,12/2/2003,10368,"$1,689.78 "
UK,King,12/2/2003,10367,$834.20 
USA,Leverling,12/2/2003,10365,$403.20 
USA,Peacock,12/2/2003,10360,"$7,390.20 "
USA,Davolio,12/3/2003,10361,"$2,046.24 "
UK,Suyama,12/3/2003,10350,$642.06 
USA,Davolio,12/4/2003,10364,$950.00 
USA,Peacock,12/4/2003,10363,$447.20 
UK,Buchanan,12/9/2003,10372,"$9,210.90 "
USA,Callahan,12/9/2003,10369,"$2,390.40 "
USA,Davolio,12/9/2003,10374,$459.00 
USA,Leverling,12/9/2003,10375,$338.00 
USA,Peacock,12/11/2003,10373,"$1,366.40 "
USA,Davolio,12/13/2003,10376,$399.00 
USA,Davolio,12/13/2003,10377,$863.60 
USA,Fuller,12/13/2003,10379,$863.28 
USA,Leverling,12/13/2003,10381,$112.00 
USA,Peacock,12/16/2003,10382,"$2,900.00 "
USA,Callahan,12/18/2003,10383,$899.00 
UK,Buchanan,12/19/2003,10378,$103.20 
USA,Davolio,12/20/2003,10387,"$1,058.40 "
USA,Fuller,12/20/2003,10388,"$1,228.80 "
USA,Leverling,12/20/2003,10384,"$2,222.40 "
USA,Davolio,12/23/2003,10385,$691.20 
USA,Davolio,12/24/2003,10371,$72.96 
USA,Peacock,12/24/2003,10389,"$1,832.80 "
UK,Dodsworth,12/25/2003,10386,$166.00 
UK,Suyama,12/26/2003,10390,"$2,090.88 "
UK,Suyama,12/27/2003,10370,"$1,117.60 "
USA,Callahan,12/30/2003,10366,$136.00 
USA,Leverling,12/31/2003,10391,$86.40 
USA,Fuller,1/1/2004,10392,"$1,440.00 "
UK,Buchanan,1/2/2004,10397,$716.72 
UK,Dodsworth,1/2/2004,10771,$344.00 
USA,Davolio,1/3/2004,10393,"$2,556.95 "
USA,Davolio,1/3/2004,10394,$442.00 
UK,Suyama,1/3/2004,10395,"$2,122.92 "
USA,Davolio,1/6/2004,10396,"$1,903.80 "
USA,Callahan,1/8/2004,10399,"$1,765.60 "
USA,Fuller,1/8/2004,10404,"$1,591.25 "
USA,Fuller,1/9/2004,10398,"$2,505.60 "
USA,Peacock,1/9/2004,10403,$855.01 
USA,Callahan,1/10/2004,10402,"$2,713.50 "
USA,Davolio,1/10/2004,10401,"$3,868.60 "
UK,King,1/13/2004,10406,"$1,830.78 "
USA,Callahan,1/14/2004,10408,"$1,622.40 "
USA,Leverling,1/14/2004,10409,$319.20 
USA,Callahan,1/15/2004,10412,$334.80 
USA,Leverling,1/15/2004,10410,$802.00 
USA,Callahan,1/16/2004,10380,"$1,313.82 "
USA,Davolio,1/16/2004,10400,"$3,063.00 "
USA,Leverling,1/16/2004,10413,"$2,123.20 "
USA,Fuller,1/17/2004,10414,$224.83 
UK,Dodsworth,1/21/2004,10411,$966.80 
USA,Davolio,1/22/2004,10405,$400.00 
USA,Leverling,1/24/2004,10415,$102.40 
USA,Peacock,1/24/2004,10418,"$1,814.80 "
USA,Callahan,1/27/2004,10416,$720.00 
USA,Callahan,1/27/2004,10421,"$1,194.27 "
UK,King,1/27/2004,10424,"$9,194.56 "
USA,Leverling,1/27/2004,10420,"$1,707.84 "
USA,Peacock,1/28/2004,10417,"$11,188.40 "
USA,Fuller,1/30/2004,10407,"$1,194.00 "
USA,Peacock,1/30/2004,10419,"$2,097.60 "
USA,Fuller,1/31/2004,10422,$49.80 
USA,Peacock,2/3/2004,10430,"$4,899.20 "
UK,King,2/4/2004,10428,$192.00 
USA,Peacock,2/6/2004,10426,$338.20 
USA,Callahan,2/7/2004,10435,$631.60 
USA,Leverling,2/7/2004,10429,"$1,441.37 "
USA,Leverling,2/7/2004,10432,$485.00 
USA,Peacock,2/7/2004,10431,"$1,892.25 "
UK,Suyama,2/10/2004,10439,"$1,078.00 "
USA,Leverling,2/11/2004,10436,"$1,994.52 "
USA,Callahan,2/12/2004,10437,$393.00 
USA,Leverling,2/13/2004,10434,$321.12 
USA,Callahan,2/14/2004,10443,$517.44 
USA,Leverling,2/14/2004,10438,$454.00 
UK,Suyama,2/14/2004,10425,$360.00 
USA,Leverling,2/18/2004,10442,"$1,792.00 "
UK,Suyama,2/19/2004,10446,$246.24 
USA,Leverling,2/20/2004,10445,$174.90 
USA,Leverling,2/21/2004,10444,"$1,031.70 "
USA,Peacock,2/24/2004,10448,$443.40 
UK,Suyama,2/24/2004,10423,"$1,020.00 "
USA,Peacock,2/25/2004,10454,$331.20 
USA,Callahan,2/26/2004,10452,"$2,018.50 "
USA,Davolio,2/26/2004,10453,$407.70 
USA,Leverling,2/27/2004,10449,"$1,838.20 "
USA,Callahan,2/28/2004,10456,$557.60 
USA,Peacock,2/28/2004,10440,"$4,924.13 "
USA,Peacock,2/28/2004,10459,"$1,659.20 "
USA,Callahan,3/3/2004,10455,"$2,684.00 "
USA,Callahan,3/3/2004,10460,$176.10 
USA,Fuller,3/3/2004,10457,"$1,584.00 "
USA,Peacock,3/3/2004,10427,$651.00 
UK,King,3/4/2004,10458,"$3,891.00 "
USA,Leverling,3/4/2004,10433,$851.20 
USA,Davolio,3/5/2004,10461,"$1,538.70 "
UK,Buchanan,3/6/2004,10463,$713.30 
USA,Peacock,3/7/2004,10447,$914.40 
USA,Callahan,3/11/2004,10450,$425.12 
USA,Callahan,3/11/2004,10467,$235.20 
USA,Leverling,3/12/2004,10468,$717.60 
USA,Peacock,3/12/2004,10451,"$3,849.66 "
USA,Peacock,3/13/2004,10466,$216.00 
USA,Davolio,3/14/2004,10465,"$2,518.00 "
USA,Davolio,3/14/2004,10469,$956.67 
USA,Leverling,3/14/2004,10441,"$1,755.00 "
USA,Peacock,3/14/2004,10464,"$1,609.28 "
USA,Peacock,3/14/2004,10470,"$1,820.80 "
USA,Fuller,3/18/2004,10462,$156.00 
USA,Fuller,3/18/2004,10471,"$1,328.00 "
USA,Callahan,3/19/2004,10472,"$1,036.80 "
UK,Buchanan,3/21/2004,10474,"$1,249.10 "
USA,Davolio,3/21/2004,10473,$230.40 
USA,Leverling,3/21/2004,10479,"$10,495.60 "
USA,Callahan,3/24/2004,10476,$180.48 
UK,Suyama,3/24/2004,10480,$756.00 
UK,Buchanan,3/25/2004,10477,$558.00 
USA,Callahan,3/25/2004,10481,"$1,472.00 "
USA,Fuller,3/26/2004,10478,$471.20 
USA,Fuller,3/28/2004,10487,$889.70 
USA,Peacock,3/31/2004,10485,"$1,584.00 "
USA,Leverling,4/1/2004,10484,$386.20 
USA,Callahan,4/2/2004,10488,"$1,512.00 "
USA,Davolio,4/2/2004,10486,"$1,272.00 "
UK,King,4/3/2004,10490,"$3,163.20 "
UK,Dodsworth,4/4/2004,10475,"$1,505.18 "
UK,King,4/7/2004,10496,$190.00 
UK,King,4/7/2004,10497,"$1,380.60 "
USA,Callahan,4/8/2004,10491,$259.50 
USA,Peacock,4/9/2004,10494,$912.00 
UK,Suyama,4/9/2004,10489,$439.20 
USA,Davolio,4/10/2004,10482,$147.00 
USA,Peacock,4/10/2004,10493,$608.40 
USA,Callahan,4/11/2004,10498,$575.00 
USA,Leverling,4/11/2004,10492,$851.20 
USA,Leverling,4/11/2004,10495,$278.00 
UK,Dodsworth,4/16/2004,10501,$149.00 
USA,Peacock,4/16/2004,10499,"$1,412.00 "
UK,Suyama,4/16/2004,10503,"$2,048.50 "
UK,Suyama,4/17/2004,10500,$523.26 
USA,Peacock,4/18/2004,10504,"$1,388.50 "
USA,Leverling,4/21/2004,10505,$147.90 
USA,Peacock,4/21/2004,10511,"$2,550.00 "
UK,King,4/22/2004,10507,$749.06 
UK,King,4/24/2004,10512,$525.30 
UK,King,4/25/2004,10483,$668.80 
UK,King,4/28/2004,10513,"$1,942.00 "
UK,Suyama,4/28/2004,10510,"$4,707.54 "
USA,Fuller,4/29/2004,10502,$816.30 
USA,Leverling,4/29/2004,10517,$352.00 
USA,Peacock,4/29/2004,10509,$136.80 
USA,Fuller,5/1/2004,10516,"$2,381.05 "
UK,King,5/1/2004,10520,$200.00 
UK,Suyama,5/1/2004,10519,"$2,314.20 "
USA,Callahan,5/2/2004,10521,$225.50 
UK,Dodsworth,5/2/2004,10506,$415.80 
USA,Peacock,5/5/2004,10518,"$4,150.05 "
USA,Peacock,5/6/2004,10522,"$2,318.24 "
USA,Davolio,5/7/2004,10524,"$3,192.65 "
UK,King,5/7/2004,10527,"$1,503.00 "
UK,Buchanan,5/9/2004,10529,$946.00 
UK,Suyama,5/9/2004,10528,$392.20 
UK,King,5/12/2004,10532,$796.35 
USA,Leverling,5/12/2004,10530,"$4,180.00 "
USA,Davolio,5/13/2004,10508,$240.00 
USA,Callahan,5/14/2004,10534,$465.70 
USA,Peacock,5/15/2004,10526,"$1,151.40 "
UK,Dodsworth,5/16/2004,10538,$139.80 
USA,Leverling,5/16/2004,10514,"$8,623.45 "
USA,Davolio,5/19/2004,10537,"$1,823.80 "
UK,King,5/19/2004,10531,$110.00 
USA,Peacock,5/21/2004,10535,"$1,940.85 "
USA,Callahan,5/22/2004,10533,"$2,222.20 "
USA,Callahan,5/23/2004,10543,"$1,504.50 "
USA,Davolio,5/23/2004,10525,$818.40 
USA,Fuller,5/23/2004,10515,"$9,921.30 "
UK,Suyama,5/23/2004,10539,$355.50 
USA,Davolio,5/26/2004,10542,$469.11 
USA,Davolio,5/27/2004,10546,"$2,812.00 "
USA,Fuller,5/29/2004,10541,"$1,946.52 "
UK,Buchanan,5/30/2004,10549,"$3,554.27 "
UK,King,5/30/2004,10523,"$2,444.31 "
USA,Peacock,5/30/2004,10544,$417.20 
USA,Leverling,6/2/2004,10547,"$1,792.80 "
USA,Leverling,6/2/2004,10548,$240.10 
USA,Fuller,6/3/2004,10553,"$1,546.30 "
UK,Suyama,6/4/2004,10555,"$2,944.40 "
USA,Fuller,6/5/2004,10552,$880.50 
USA,Peacock,6/5/2004,10554,"$1,728.52 "
UK,Dodsworth,6/6/2004,10557,"$1,152.50 "
UK,King,6/6/2004,10550,$683.30 
USA,Leverling,6/6/2004,10536,"$1,645.00 "
USA,Peacock,6/6/2004,10551,"$1,677.30 "
USA,Callahan,6/9/2004,10560,"$1,072.42 "
USA,Fuller,6/9/2004,10561,"$2,844.50 "
USA,Davolio,6/10/2004,10558,"$2,142.90 "
USA,Davolio,6/12/2004,10562,$488.70 
USA,Fuller,6/13/2004,10556,$835.20 
USA,Leverling,6/13/2004,10540,"$10,191.70 "
UK,Suyama,6/13/2004,10559,$520.41 
USA,Peacock,6/16/2004,10564,"$1,234.05 "
USA,Davolio,6/17/2004,10567,"$2,519.00 "
USA,Callahan,6/18/2004,10565,$639.90 
UK,Dodsworth,6/18/2004,10566,"$1,761.00 "
USA,Leverling,6/19/2004,10570,"$2,465.25 "
UK,King,6/20/2004,10573,"$2,082.00 "
USA,Fuller,6/24/2004,10563,$965.00 
USA,Leverling,6/25/2004,10572,"$1,501.08 "
USA,Callahan,6/26/2004,10545,$210.00 
UK,Buchanan,6/30/2004,10575,"$2,147.40 "
UK,Dodsworth,6/30/2004,10577,$569.00 
USA,Leverling,6/30/2004,10576,$838.45 
USA,Peacock,6/30/2004,10574,$764.30 
USA,Peacock,7/1/2004,10580,"$1,013.74 "
USA,Leverling,7/2/2004,10581,$310.00 
USA,Callahan,7/4/2004,10571,$550.59 
USA,Davolio,7/4/2004,10579,$317.75 
USA,Fuller,7/4/2004,10583,"$2,237.50 "
USA,Peacock,7/4/2004,10584,$593.75 
USA,Davolio,7/9/2004,10587,$807.38 
UK,Dodsworth,7/9/2004,10586,$23.80 
USA,Leverling,7/9/2004,10568,$155.00 
USA,Fuller,7/10/2004,10588,"$3,120.00 "
UK,King,7/10/2004,10585,$142.50 
UK,Buchanan,7/11/2004,10569,$890.00 
USA,Callahan,7/14/2004,10589,$72.00 
USA,Fuller,7/14/2004,10595,"$4,725.00 "
USA,Leverling,7/14/2004,10582,$330.00 
USA,Peacock,7/14/2004,10590,"$1,101.00 "
USA,Davolio,7/16/2004,10591,$812.50 
USA,Leverling,7/16/2004,10592,$516.46 
USA,Leverling,7/16/2004,10594,$565.50 
USA,Davolio,7/18/2004,10598,"$2,388.50 "
UK,King,7/18/2004,10597,$718.08 
USA,Peacock,7/21/2004,10600,$479.80 
UK,Suyama,7/21/2004,10599,$493.00 
USA,Callahan,7/22/2004,10602,$48.75 
UK,King,7/22/2004,10601,"$2,285.00 "
UK,Buchanan,7/25/2004,10607,"$6,475.40 "
USA,Peacock,7/25/2004,10578,$477.00 
USA,Davolio,7/29/2004,10604,$230.85 
USA,Davolio,7/29/2004,10605,"$4,109.69 "
UK,King,7/30/2004,10609,$424.00 
USA,Peacock,7/31/2004,10606,"$1,130.40 "
USA,Callahan,8/1/2004,10614,$464.00 
USA,Davolio,8/1/2004,10612,"$6,375.00 "
USA,Peacock,8/1/2004,10608,"$1,064.00 "
USA,Peacock,8/1/2004,10613,$353.20 
UK,Suyama,8/1/2004,10611,$808.00 
USA,Peacock,8/4/2004,10617,"$1,402.50 "
USA,Davolio,8/5/2004,10616,"$4,806.99 "
USA,Callahan,8/6/2004,10610,$299.25 
USA,Fuller,8/6/2004,10615,$120.00 
USA,Leverling,8/7/2004,10619,"$1,260.00 "
USA,Callahan,8/8/2004,10603,"$1,483.00 "
USA,Davolio,8/8/2004,10618,"$2,697.50 "
USA,Peacock,8/11/2004,10621,$758.50 
USA,Peacock,8/11/2004,10622,$560.00 
USA,Callahan,8/12/2004,10596,"$1,180.88 "
USA,Callahan,8/12/2004,10623,"$1,336.95 "
UK,King,8/13/2004,10593,"$1,994.40 "
USA,Fuller,8/14/2004,10620,$57.50 
USA,Leverling,8/14/2004,10625,$479.75 
USA,Callahan,8/15/2004,10631,$55.80 
UK,King,8/18/2004,10633,"$5,510.59 "
USA,Callahan,8/19/2004,10632,$589.00 
USA,Davolio,8/19/2004,10630,$903.60 
USA,Peacock,8/19/2004,10624,"$1,393.24 "
USA,Davolio,8/20/2004,10626,"$1,503.60 "
USA,Peacock,8/20/2004,10628,$450.00 
USA,Peacock,8/20/2004,10629,"$2,775.05 "
USA,Callahan,8/21/2004,10627,"$1,185.75 "
USA,Callahan,8/21/2004,10635,"$1,326.22 "
USA,Peacock,8/21/2004,10634,"$4,985.50 "
USA,Peacock,8/26/2004,10636,$629.50 
USA,Peacock,8/26/2004,10641,"$2,054.00 "
UK,Suyama,8/26/2004,10637,"$2,761.94 "
UK,King,8/27/2004,10639,$500.00 
USA,Peacock,8/28/2004,10640,$708.75 
UK,Buchanan,8/29/2004,10649,"$1,434.00 "
USA,Leverling,9/1/2004,10638,"$2,720.05 "
USA,Leverling,9/1/2004,10644,"$1,371.80 "
USA,Peacock,9/2/2004,10645,"$1,535.00 "
UK,Suyama,9/2/2004,10643,$814.50 
UK,Buchanan,9/3/2004,10650,"$1,779.20 "
UK,Dodsworth,9/3/2004,10646,"$1,446.00 "
USA,Peacock,9/3/2004,10647,$636.00 
UK,King,9/5/2004,10642,$696.00 
USA,Peacock,9/8/2004,10652,$318.84 
USA,Peacock,9/8/2004,10658,"$4,464.60 "
UK,Buchanan,9/9/2004,10648,$372.37 
UK,King,9/10/2004,10659,"$1,227.02 "
UK,Suyama,9/10/2004,10656,$604.21 
UK,Buchanan,9/11/2004,10654,$601.83 
USA,Callahan,9/11/2004,10651,$397.80 
USA,Davolio,9/11/2004,10655,$154.40 
USA,Fuller,9/15/2004,10657,"$4,371.60 "
UK,King,9/15/2004,10661,$562.60 
USA,Davolio,9/17/2004,10665,"$1,295.00 "
USA,Leverling,9/18/2004,10662,$125.00 
USA,Peacock,9/18/2004,10670,"$2,301.75 "
USA,Davolio,9/19/2004,10653,"$1,083.15 "
USA,Davolio,9/19/2004,10664,"$1,288.39 "
USA,Fuller,9/19/2004,10673,$412.35 
UK,King,9/19/2004,10667,"$1,536.80 "
USA,Fuller,9/22/2004,10669,$570.00 
UK,King,9/22/2004,10666,"$4,666.94 "
UK,Buchanan,9/23/2004,10675,"$1,423.00 "
USA,Davolio,9/23/2004,10668,$625.27 
USA,Davolio,9/24/2004,10671,$920.10 
USA,Davolio,9/26/2004,10677,$813.36 
USA,Davolio,9/26/2004,10680,"$1,261.88 "
UK,Dodsworth,9/26/2004,10672,"$3,815.25 "
USA,Fuller,9/29/2004,10676,$534.85 
USA,Callahan,9/30/2004,10679,$660.00 
USA,Leverling,9/30/2004,10681,"$1,287.40 "
USA,Leverling,9/30/2004,10684,"$1,768.00 "
USA,Peacock,9/30/2004,10674,$45.00 
USA,Fuller,10/1/2004,10683,$63.00 
USA,Leverling,10/1/2004,10682,$375.50 
USA,Davolio,10/3/2004,10690,$862.50 
USA,Fuller,10/3/2004,10663,"$1,930.40 "
USA,Peacock,10/3/2004,10685,$801.10 
USA,Davolio,10/7/2004,10689,$472.50 
USA,Peacock,10/7/2004,10688,"$3,160.60 "
USA,Fuller,10/8/2004,10686,"$1,404.45 "
USA,Callahan,10/9/2004,10694,"$4,825.00 "
USA,Leverling,10/10/2004,10693,"$2,071.20 "
USA,Leverling,10/13/2004,10699,$114.00 
USA,Peacock,10/13/2004,10692,$878.00 
USA,Callahan,10/14/2004,10696,$996.00 
UK,King,10/14/2004,10695,$642.00 
USA,Leverling,10/14/2004,10697,$805.43 
USA,Callahan,10/15/2004,10660,"$1,701.00 "
UK,Suyama,10/15/2004,10701,"$2,864.50 "
UK,King,10/16/2004,10678,"$5,256.50 "
USA,Leverling,10/16/2004,10700,"$1,638.40 "
USA,Peacock,10/17/2004,10698,"$3,436.45 "
UK,Suyama,10/20/2004,10703,"$2,545.00 "
USA,Callahan,10/21/2004,10706,"$1,893.00 "
USA,Peacock,10/21/2004,10702,$330.00 
USA,Fuller,10/22/2004,10691,"$10,164.80 "
USA,Davolio,10/23/2004,10710,$93.50 
USA,Peacock,10/23/2004,10707,"$1,641.00 "
USA,Davolio,10/24/2004,10713,"$2,827.90 "
UK,Buchanan,10/27/2004,10714,"$2,205.75 "
USA,Peacock,10/27/2004,10716,$706.00 
UK,Buchanan,10/29/2004,10711,"$4,451.70 "
USA,Davolio,10/29/2004,10717,"$1,270.75 "
USA,Davolio,10/29/2004,10718,"$3,463.00 "
USA,Leverling,10/29/2004,10715,"$1,296.00 "
UK,Dodsworth,10/30/2004,10687,"$4,960.90 "
UK,Buchanan,10/31/2004,10721,$923.87 
USA,Leverling,10/31/2004,10712,"$1,233.48 "
USA,Callahan,11/4/2004,10722,"$1,570.00 "
USA,Callahan,11/5/2004,10719,$844.25 
USA,Callahan,11/5/2004,10720,$550.00 
USA,Callahan,11/5/2004,10724,$638.50 
USA,Peacock,11/5/2004,10725,$287.80 
UK,Suyama,11/5/2004,10708,$180.40 
USA,Leverling,11/7/2004,10732,$360.00 
UK,Suyama,11/7/2004,10704,$595.50 
USA,Davolio,11/10/2004,10733,"$1,459.00 "
USA,Peacock,11/11/2004,10728,"$1,296.75 "
USA,Fuller,11/12/2004,10734,"$1,498.35 "
UK,Buchanan,11/14/2004,10730,$484.25 
USA,Callahan,11/14/2004,10729,"$1,850.00 "
UK,King,11/14/2004,10731,"$1,890.50 "
USA,Leverling,11/17/2004,10739,$240.00 
UK,Dodsworth,11/18/2004,10705,$378.00 
USA,Fuller,11/18/2004,10737,$139.80 
USA,Fuller,11/18/2004,10738,$52.35 
USA,Leverling,11/18/2004,10742,"$3,118.00 "
USA,Peacock,11/18/2004,10741,$228.00 
USA,Davolio,11/20/2004,10709,"$3,424.00 "
USA,Davolio,11/21/2004,10743,$319.20 
USA,Davolio,11/21/2004,10746,"$2,311.70 "
UK,Dodsworth,11/21/2004,10736,$997.00 
UK,Suyama,11/21/2004,10735,$536.40 
UK,Dodsworth,11/24/2004,10750,"$1,590.56 "
UK,Suyama,11/24/2004,10744,$736.00 
USA,Leverling,11/25/2004,10723,$468.45 
USA,Peacock,11/25/2004,10740,"$1,416.00 "
UK,Suyama,11/26/2004,10747,"$1,912.85 "
UK,Dodsworth,11/27/2004,10745,"$4,529.80 "
USA,Leverling,11/27/2004,10753,$88.00 
UK,Suyama,11/27/2004,10754,$55.20 
USA,Fuller,11/28/2004,10752,$252.00 
USA,Leverling,11/28/2004,10748,"$2,196.00 "
USA,Peacock,11/28/2004,10755,"$1,948.50 "
USA,Callahan,12/2/2004,10756,"$1,990.00 "
USA,Leverling,12/3/2004,10751,"$1,631.48 "
USA,Leverling,12/4/2004,10758,"$1,644.60 "
USA,Fuller,12/5/2004,10727,"$1,624.50 "
USA,Peacock,12/5/2004,10726,$655.00 
UK,Buchanan,12/8/2004,10761,$507.00 
USA,Leverling,12/8/2004,10763,$616.00 
UK,Suyama,12/8/2004,10764,"$2,286.00 "
USA,Leverling,12/9/2004,10762,"$4,337.00 "
USA,Leverling,12/9/2004,10765,"$1,515.60 "
USA,Peacock,12/9/2004,10766,"$2,310.00 "
USA,Peacock,12/10/2004,10760,"$2,917.00 "
USA,Leverling,12/12/2004,10759,$320.00 
USA,Leverling,12/12/2004,10769,"$1,684.27 "
USA,Peacock,12/12/2004,10774,$868.75 
USA,Leverling,12/15/2004,10768,"$1,477.00 "
USA,Peacock,12/15/2004,10767,$28.00 
UK,Suyama,12/15/2004,10757,"$3,082.00 "
USA,Davolio,12/16/2004,10773,"$2,030.40 "
USA,Callahan,12/17/2004,10770,$236.25 
USA,Davolio,12/18/2004,10776,"$6,635.27 "
USA,Fuller,12/19/2004,10781,$975.88 
USA,Leverling,12/19/2004,10772,"$3,603.22 "
USA,Peacock,12/19/2004,10749,"$1,080.00 "
USA,Peacock,12/19/2004,10783,"$1,442.50 "
UK,Dodsworth,12/22/2004,10782,$12.50 
USA,Peacock,12/22/2004,10784,"$1,488.00 "
USA,Callahan,12/23/2004,10786,"$1,531.08 "
USA,Davolio,12/24/2004,10785,$387.50 
USA,Leverling,12/24/2004,10778,$96.50 
USA,Fuller,12/25/2004,10780,$720.00 
USA,Fuller,12/26/2004,10787,"$2,622.76 "
UK,King,12/26/2004,10775,$228.00 
